nct_id,title,phase,condition,endpoint_1,endpoint_2,endpoint_3
NCT02087176,A Placebo Controlled Study Comparing AZD1775+ Docetaxel Versus Placebo+Docetaxel to Treat Lung Cancer,PHASE2,Previously Treated Non Small Cell Lung Cancer,,,
NCT05512676,Trabectedin/Caelyx vs Cisplatin Hypersensitivity in Relapsed Ovarian Cancer Patients Allergic to Platinum,,Ovarian Neoplasm,,,
NCT03146117,PET-DECT for Staging and Imaged Based Radiotherapy Planning in Lung Cancer,,PET CT,,,
NCT03272217,Atezolizumab With Bevacizumab in Previously Untreated Metastatic/Unresectable Urothelial Cancer,PHASE2,Urothelial Carcinoma,,,
NCT06706076,A Study of BH-30643 in Subjects With Locally Advanced or Metastatic NSCLC Harboring EGFR and/or HER2 Mutations,PHASE1,NSCLC (Advanced Non-small Cell Lung Cancer),,,
NCT01865617,"Laboratory Treated T Cells in Treating Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia, Non-Hodgkin Lymphoma, or Acute Lymphoblastic Leukemia",PHASE1,CD19-Positive Neoplastic Cells Present,,,
NCT04473040,Managed Access Program to Provide Access to Alpelisib for Patients With Advanced Breast Cancer,,"HR+, HER2-, Advanced Breast Cancer",,,
NCT07037589,Women With isoLated acUte cyStitis and Macroscopic Hematuria. Is Further Investigation Needed?,,Hematuria,is to identify low-risk patients where invasive investigations may be safely avoided,,
NCT02404389,"Safety, Tolerability, and Efficacy Study of LFX453 in Actinic Keratosis Patients",PHASE2,Actinic Keratosis,,,
NCT04666168,A Multicenter Clinical Study on the Safety and Efficacy of CAR-T in the Treatment of Relapsed / Refractory Non Hodgkin's Lymphoma,NA,Non-hodgkin's Lymphoma,,,
NCT04013568,Exercise Post-Diagnosis of Breast Cancer,NA,Breast Cancer,if there are body composition changes after a 12-week exercise program in breast cancer patients and determine what factors contribute to sustained physical activity after the 12-week exercise program intervention,,
NCT06766591,Ivonescimab Combined With Chemotherapy for the Treatment of Leptomeningeal Metastases Failed to EGFR-TKIs,NA,NSCLC,* iPFS (intracranial progression free survival),Main purpose Exploring the real-world effectiveness of Ivonescimab combined with chemotherapy for EGFR mutant NSCLC with leptomeningeal metastasis after EGFR-TKIs resistance,
NCT01535391,"Nilotinib in PH+, BCR-, ABL+ CML Patients",PHASE3,Chronic Myeloid Leukemia,"of the trial is to evaluate the efficacy of nilotinib, 300 mg twice daily with dose increase to 400 mg twice daily in case of suboptimal response or failure (excluding patients who will fail for progression to ABP), in a population of patients with Ph-positive, BCR-ABL positive CML in early CP","the efficacy of nilotinib, 300 mg twice daily with dose increase to 400 mg twice daily in case of suboptimal response or failure (excluding patients who will fail for progression to ABP), in a population of patients with Ph-positive, BCR-ABL positive CML in early CP","nilotinib, 300 mg twice daily with dose increase to 400 mg twice daily in case of suboptimal response or failure (excluding patients who will fail for progression to ABP), in a population of patients with Ph-positive, BCR-ABL positive CML in early CP"
